,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,helpful_numerator,helpful_denominator,unhelpful,metric,classification
15684,A335ASR75PNY4M,B000AREK72,love's shoes,"[1, 1]",the skechers womens bikersstepup mary jane sneakers are so cute but i didnt listen to the reviews that told me the material it is made of is of poor quality and doesnt breath probably plastic i will buy more when they improve the material quality please,3.0,Skechers Women's Bikers-Step-Up Mary Jane Sneakers,1355875200,"12 19, 2012",1,1,0,1.0,1
15688,A1GHUN5HXMHZ89,B000W11AOM,"C. A. Luster ""The Rook""","[4, 5]",this is a great shirt they run according to normal size i wear 1634 and the fit is excellent nice crisp look and wears like iron comfort of blend for year round wear i am very pleased with the three colors blue tuscan red and maize i bought great price right now as well,4.0,Van Heusen Oxford,1209945600,"05 5, 2008",4,5,1,0.6,1
15690,A1XKQX71GJASJR,B0051U15IU,"Suzanne Deneuve Hall ""Suzanne""","[0, 1]",the reviews for the large said that they were tight in the leg so i ordered up the xl and guess what the leg portion is still tight you have to scrunch it down a couple of inches nice socks very fluffy,4.0,Ordered XL,1392595200,"02 17, 2014",0,1,1,-1.0,0
15693,A3MF08ZT46NT6F,B006W1TYE4,Rose,"[0, 1]",love it so much it was beautiful so much so my mother wants one so will get it for her birthdayjust lovely a great buy,5.0,Lovely,1399852800,"05 12, 2014",0,1,1,-1.0,0
15696,A2CWGH86I4VSIY,B00029R7Y6,W. Barrett,"[12, 16]",i really wanted to like this little canvas bag but it has too many shortcomings  the pockets in the portfolio are too deep for regular credit cards  they slide way down and it is very difficult to remove them  i just leave the cards i use most often standing up so i can reach them which isnt really secure  the velcro that holds this portfolio part shut is very loose  it opens all the time from the weight of my normal cell phone  the clasp that holds the top of the bag shut was so hard to open and close that i just cut it off  since i cant close the top my cell phone tends to slide out of the bag  i was living with all of these minor issues but now the lining of the pockets has started to fray  and its a pocket that i almost never use  its one thing that im not happy with some design issues but the fact that ive had it for less than six months and it is wearing out lead me to rate it one star  its a great size has a nice strap and with a few changes could be a wonderful little bag  without those changes i advise you to keep looking,1.0,Poor design and poor quality.,1261008000,"12 17, 2009",12,16,4,0.5,1
15701,A2VALCFTOWFYXZ,B000LGEOFK,Em,"[0, 1]",i like my sandals stiff not mushy this one is relatively stiff but not for long id prefer reef to add another layer or using a higher density evait looks very cool doesnt seem much durable to last more than 46 months but doesnt cost that much eitheri usually hate thong flipflops since they irritate my thumbs this one doesnt i have middlehigh arcehs and it does seem to have some arch support i guess a true mudiumarched guy would benefit the most of them but also low arched toomy 1st reef sandal not dissapointed i wish they added a 3rd layer to make it a bit more high less ground feel,4.0,The good: surprisingly comfy. The bad: doesn't seem durable,1371600000,"06 19, 2013",0,1,1,-1.0,0
15713,A2W5N4LZ34QLAI,B0001HKKPW,"A Person ""yeah""","[1, 1]",these are the best bras for a full busted woman  i wear 36j and had to go up a cup to 36jj because i am 20 weeks pregnant  love my panache   always great coverage  and wish they were made in a nursing bra  by the way i have had full busts my whole life and find that panache fits me the best i dont have a wide back just very large breasts so the cup always fits well and they are easy on the eye wear your right size ladies and you will never look bad,5.0,live a glove as usual,1401840000,"06 4, 2014",1,1,0,1.0,1
15717,A3644XBFGBTDIA,B00A6YTKD8,"Jaime ""Jaimes""","[0, 2]",i purchases these to wear under long maxi dresses for a little more coverage since the maxi dresses are often very thin and see through  these fit wonderfully but are pretty thin  for my purpose they work great but anyone planning to wear these by themselves should know they are thin and potentially see through,4.0,A little thin but overall very happy,1382054400,"10 18, 2013",0,2,2,-1.0,0
15719,A6JTDTXYV9H0D,B00A8YZFT4,Pretty Awesome,"[0, 2]",it looks just like it looks in the picture the fuzzy fabric is so super soft i love it i agree with the other reviewers in that the lining shifts weird sometimes but its not that serious also its not a heavy coat so dont expect excessive warmth from it ill probably be wearing it when the weather is fairly mild around here 50s60s,5.0,So cute and soft!,1360108800,"02 6, 2013",0,2,2,-1.0,0
15725,A1EQIG3D3VBU5G,B005VNFCZO,"Cynthia J. Salim ""LOVE 2 LEARN""","[0, 1]",it is very difficult to find a supportive sports bra that doesnt give the dreaded 34 uniboob34 look this bra gives good separation i found the bra cups to be on the large side the back of of the bra fit as expected if you are a d or a not to full dd you may want to try the d cup the dd is marked dde,4.0,Good separation but cups a little larger than expected,1398038400,"04 21, 2014",0,1,1,-1.0,0
15735,A1TKNVUVJ8I8KW,B000SMCQRK,Jacqueline Washington,"[1, 1]",when i received the earrings i was pleasantly surprised at how good they looked for what i paid for them  though most of my jewelry is 10 and 14k gold i feel good with what i purchased  and i feel confident that i can recommend this company to my friends and family and will be ordering more myself,5.0,Excellent value for the money.,1338076800,"05 27, 2012",1,1,0,1.0,1
15743,A2R6RA8FRBS608,B000V9OG9Q,Matthew G. Sherwin,"[38, 45]",duofold makes excellent thermal underwear for those cold cold days and nights the cottonpolyester two layered fabric is actually extremely well made and this underwear lasts years with proper care it can be worn as underwear under your outdoor clothes or you can wear it in bed with your pajamas on over it whatever way you choose you cant go wrong with duofold thermal underwearthe fabric is just as soft as they say it is and this thermal underwear bottom helps to keep you much warmer than you think it would it appears flimsy and floppy before you put it onbut after youre wearing it youll notice a huge difference youll be a lot warmer with it it also does not bunch or wrinkle easily the elastic waistband is comfortable and as long as you get the right size for you it never feels too tight around the waistas for maintenance i just put mine in the clothes washer and dryer and everything always comes out fine if you get this in navy blue or any other color and you have concerns about the color bleeding onto white colored clothing just wash this with garments that are not white youll be fine in addition it shrinks very littlebe sure to check the pricing and availability chart and the merchant sizing chart if you want to order this hereoverall duofold makes one awesome thermal underwear bottom for men i highly recommend this product,5.0,highly recommended,1195171200,"11 16, 2007",38,45,7,0.6888888888888889,1
15752,A2O5YXRTIM59HI,B006GN76L6,CC,"[0, 1]",i was very skeptical about this item i wear a 32d and thats not too big but i still doubted that this could give any sort of support but i needed something strapless which is difficult for me because it requires dropping to a 30dd to find a bra that wont slide down during wear well i have to say i am pleasantly surprised by this it does work better with loser fitting or low neckline clothes because it has a tendency to just jut out of your chest in tighter clothes and it doesnt necessarily make you look like you are wearing a bra just like you are lucky enough not to need to however it take a lot of practice i fear the number of times i had to re position it to get it to look even the adhesive may wear off much sooner than is intended so i will need to keep watch for that,4.0,I was a skeptic,1338940800,"06 6, 2012",0,1,1,-1.0,0
15761,A1IC75BCAGQ4IK,B00026UM5A,"dhalex ""dhalex""","[1, 5]",i expected these to be loose and comfortable to wear around the house in lieu of slippershowever they are way too tight around the calf and would only work for me when using them with high boots,2.0,Too Tight!,1321574400,"11 18, 2011",1,5,4,-0.6,0
15767,A3NIP4SLO68N37,B000ZB1DIW,Teresa Cramer,"[1, 3]",i ordered this to go with a heart i had bought for my mom but she did not feel it was sturdy enough so i returned and was very pleased with the amazon return and refund policy,1.0,RETURNED THIS,1345852800,"08 25, 2012",1,3,2,-0.3333333333333333,0
15769,A2OI6HIEMLQPUK,B0007NMJ3G,Bug,"[1, 1]",these earrings are really pretty  show so many cool colors they look great with so many outfits love them,5.0,Pretty earrings,1393200000,"02 24, 2014",1,1,0,1.0,1
15772,A2MHG3QNBXIQMK,B003LPUP7Y,Heather,"[0, 1]",i love that they are white  match everything  they are true to size so far  i bought the 618 montha nd my daughter is about 6 months old and they are a little big  i like that they stay on better than any other socks that i have  and i have a bunch of different brands  they use to stay on really goodbut now my little girl loves to pull them off  but nothing against the socks,4.0,nice basic socks,1351036800,"10 24, 2012",0,1,1,-1.0,0
15776,A201TIIFG9NAN4,B000F3WZNW,"Chairman of the Board ""Smith Board of Directors""","[0, 1]",just got back from europe and this bag worked great i love the length of the straps for over the shoulder  flat bottom sits well be careful not to overfill so it will still fit under the plane seat i ordered black and would like to have the bronze color too for summer travel,5.0,Great size for travel!,1371686400,"06 20, 2013",0,1,1,-1.0,0
15788,A1NJ71X3YPQNQ9,B0000868O9,JBerger,"[1, 3]",itchy pointy and very uncomfortable how in the heck did this bra get so many good reviews i think one star is one too many,1.0,Horrible!,1383696000,"11 6, 2013",1,3,2,-0.3333333333333333,0
15789,A1GAVWZJULFUIY,B000FP79H2,Tori Tyler,"[1, 1]",its hard for me to find outfits like this to fit my body the way it shouldusually one are is off just a bit  this one fit everything perfectly and it drove my husband wild the material is very soft and you know sometimes when you buy an outfit and it just doesnt seem like good material like its cheap  this is not like that at all  its very worth it,4.0,Very Happy,1305763200,"05 19, 2011",1,1,0,1.0,1
15796,A1DIB38EVVOMWU,B005WK841U,D. Scott,"[0, 1]",i bought these for my elderly aunt  she had lost some weight so the back of her pants would slip a little when she got up from sitting  she absolutely loved this product  the strap is flat and doesnt show under a shirt  the only drawback is that the pants must have belt hoops for the clips to attach,5.0,Keeps Your Pants in Place,1364601600,"03 30, 2013",0,1,1,-1.0,0
15809,A3NKN6E6GBYMEM,B002TOL5UE,"Brandy ""Brandy""","[1, 3]",im so mad  these broke the 2nd time i wore them and i cant return them because my return window closed 2 days ago  im very upset and disappointed in amazon for selling these shotty quality earrings  im glad i didnt pay the original price for these,1.0,Broke the 2nd time I wore them!!,1353196800,"11 18, 2012",1,3,2,-0.3333333333333333,0
15824,A1QXWM5P0CT45,B0012M0V7W,bookmagic,"[0, 1]",i really liked another bali bra i had purchased but wanted one a little more feminine the sizing was true the color a little more pink than it looked on the product page but i like it i have worn this a few times now and it is comfortable that is a lot coming from me because i hate wearing bras even more so in summer i feel very comfortable making another online purchase for a bali product,4.0,Very happy with this,1371945600,"06 23, 2013",0,1,1,-1.0,0
15825,A2ESBVPSX218FM,B009328PQ2,Stephanie Izzo,"[0, 1]",i have another item from patty that i love and wear all the time so i wanted a second item this sweatercoat seemed to be similar enough but actually it was a little too dowdy for my tastethe wrinkly pointy material at the bottom of the garment didnt make it feel richhigh quality it just annoyed meso i had to send it back,3.0,wasn't a huge fan of the pointy bottom hem...,1353888000,"11 26, 2012",0,1,1,-1.0,0
15832,AAJ5IO4J3O58A,B004DMSTZY,Mc19,"[1, 6]",returned  because i did not like anything about the purse was very disappointed to me it appeared to be cheaply made,1.0,Poor choice,1380499200,"09 30, 2013",1,6,5,-0.6666666666666666,0
15835,A3P0YVL8HECR89,B000W8WMJ2,CCCoinChic,"[2, 2]",i was going to give four out of five stars because the boots i received appear to have been worn before there were dirt streaks on the toes but nothing else was wrong with them and i love sorel how could i give them a lesser rating when theyve always come through for me i own a few sorel styles their boots are always warm always waterproof and always fit my wide feet i usually wear a 9 but ordered a 10good choice since ill be in these up to eight hours a day for work and also a good choice because ill be wearing thick socks,5.0,I love Sorels!,1385510400,"11 27, 2013",2,2,0,1.0,1
15837,A1AFAN5DY3B3BL,B000F43MXS,Hot Grams,"[4, 4]",i love this purse i  have long been on the search for the perfect small purse and this is it i have 3 now in different colors  it is sturdy well made and can be worn so many way  carrying a large purse gives me neck and shoulder ache  this purse holds all my essentials in an organized easy to find manner with the individuals pockets and it is not too heavy not too small not too large,5.0,Best Small Purse Ever Made,1238630400,"04 2, 2009",4,4,0,1.0,1
15839,A3GQQBM0NP6V93,B000DZUGOM,Morgaine,"[2, 3]",these are moderately priced and comfortable flips  the yoga mat material is a little questionable in terms of comfort in that its rubbery feeling and conducive to sweating  its squishy so squishy that it doesnt offer much resistance when i put my weight down to take a step  it feels as though there should be a stronger layer under the top layer of squishy funalso these run a little narrow  i typically wear a 7 12 or an 8 depending on the brand i got these in an 8 and they fit snuglyoverall 3 stars because they arent super expensive seem well made and fairly durable but the yoga mat material isnt at all absorbent and a bit too squishy,3.0,Yoga Mat Shoes,1336521600,"05 9, 2012",2,3,1,0.3333333333333333,1
15841,AO43A03C1LA0K,B000KN0BS8,R. Starks,"[0, 1]",my title tells what i really think of the new briefs i believe they have changed to cheaper material because my older ones are thicker the material on these may be the kind that shrink easily  this is why i buy them in a larger size and for my legs i will find out when i wash them  steve harvey on tv said that he buys the briefs that cover the thighs because they look more decent but i dont think i could get used to them and they cost more money followup after washing the briefs they prove how thin they are and have also shrunk some like many products now they have slowly and slyly cheapened things food and clothing are not what they used to be  the ingredients were changed on aramis shaving cream so i no longer get a good shave i mentioned it to macys etc but they did not carei have since switched to something cheaper,3.0,Change of Underwear,1373846400,"07 15, 2013",0,1,1,-1.0,0
15842,A11Z488YIGAMMS,B002VQFHN6,tadpoleangel,"[0, 1]",ive bought several of these assortments and im always happy with the assortment never received a duplicate even when buying several sets at once and range of colors and patterns qualitys not excellent though the top balls do split eventually especially if you try to screw them in too tight but even if not many of them have cracked or split while i was wearing them after a couple months of wear which is reasonable for what i paid for them,4.0,Excellent for the price,1376870400,"08 19, 2013",0,1,1,-1.0,0
15844,A2HSE6PMI3C4Y7,B005GPJ7T4,jcapone,"[0, 1]",bought this as a gift and she really liked it  nice fit nice material  she told me fit washed well  she bought it in two more colors,4.0,gift for someone,1373068800,"07 6, 2013",0,1,1,-1.0,0
15850,ATOSV5RJMN5E2,B003PAQHLS,Sharyn350z,"[0, 2]",so i ordered these jeans for my husband and they got here quickly he put off trying them on because he knew hed gained weight ha ha nice now hes gained even more and no way in heck is he squeezing into them and he waited so long for me to finally nag his butt about them that i cant return them even with the tags onoh well there they sit they look nice,3.0,HUSBAND GOT FAT WHILE PROCRASTINATING...,1403136000,"06 19, 2014",0,2,2,-1.0,0
15855,A5A4374R8I7NB,B000J03N2I,PWB Esq,"[4, 4]",this tech swiss aluminum storage box holds 8 of my watches very snugly  i just put my watches around the black watch holders and place them back in one of the slots  when all 8 are in there they fit snugly  im not sure this would be the case if less than 8 were in the case i dont think they would move that much but having all 8 in there at once makes it much more secure  the entire inside is made so that the watches can not get scratched in any manner  nice thick black feltthe lock is a positive and a negative  first the positive  it has an unusual enough key that it wouldnt be too easy to try to get in the case  some keys vaultz products come to mind are so generic that almost anyone can get into their products  that is not the situation of the keys to this case  it is unique  the negative if you want to travel with your watches on an airplane this lock is not tsa approved so you would have to leave it unlocked at least until you made it through the security checkpoint if you are carrying them on the airplanefinally i didnt give this item 5 stars because i believe it needs more padding to protect the watches  there is just a thin layer of felt over cardboard over the inside of the case  certainly not enough to provide fallproof protection for this watch box  if the aluminum were to dent in a fall this would surely go through to the watch contents inside,4.0,Holds watches snugly,1339804800,"06 16, 2012",4,4,0,1.0,1
15856,A3SSVI14J5S3UJ,B000E5EB2E,Amazon Customer,"[4, 4]",i was a little naive when purchasing thinking they were heavier like knit how stupid was that but these are very classy and can be used with your best wardrobe,4.0,Nice Scarf,1234656000,"02 15, 2009",4,4,0,1.0,1
15862,A2O4CJCDSW4216,B000F1SCU4,lees,"[2, 6]",it oxidizes my jewelry pieces so i dont like itall my jewelry were stained with this product i was really mad,1.0,bad!,1370736000,"06 9, 2013",2,6,4,-0.3333333333333333,0
15875,A1KX6DJR56T117,B0019SFCN2,MO,"[0, 1]",i have been wearing these shirts for years now  they look totally professional and the soft stripes make them look expensive put them with a nice suit and you will look better than all the chumps wearing solids,4.0,Best shirts ever!,1295308800,"01 18, 2011",0,1,1,-1.0,0
15880,A2Q8LSOFGOR93G,B0009G8PN4,"penmen ""Penny""","[1, 1]",a great buy  the large size is very long with nice long sleeves  very soft and comfortable  great shirt to work out in or just relax in it,5.0,Long Sleeve Tee,1320883200,"11 10, 2011",1,1,0,1.0,1
15888,A1R8Z4CWPK3FW6,B000EQS1JW,Shavuotis,"[4, 4]",i purchased this watch 2 years ago and it has kept time perfectly  i keep it set with the kronos time clock at work and it keeps time with it pretty good  it needs no battery change and is as water tight as i need it to be  i can swim and shower with it on and it just shrugs off the water it is water resistant to 33075 of us will never go that deep its luminosity could be better in my opinion but nothing i cant live with and accept given the level of quality in the rest of the watch the mineral crystal is still smooth and unblemished even after two years i work with mental patients and have this watch torn off of my wrist on 3 different occasions  it just keeps ticking  the 37mm diameter is perfect for my small wrist  i did change the band to rubber for increased durability then the rubber broke currently am using a 1000 nylonvelcro band i wore a seiko 5 for 10 years it was a good watch but not as accurate as this one in some of the watch forums i have seen the question come up of a emp proof watch some recommend an automatic for the price though you can buy an extra one of these and store it in a faraday box these are accurate lightweightdurable reliablegood looking and inexpensive a couple of watchbands of different styles and you could wear it anywhere but an executive meeting or very formal i currently have the hankering for another watch  not because there is anything wrong with this one  i just like watches  i have been considering a gshock solar atomic but i may just have become a severe citizen addict if you need a good everyday watch you dont have to spend a lot of money  this one fits the bill nicely  buy this watch  you wont be sorry,5.0,Buy This Watch!!!,1299888000,"03 12, 2011",4,4,0,1.0,1
15891,A3M17XG8HL7JRF,B0007QCO6A,"Who Am I? ""Me!""","[2, 2]",well i am really peeved that the price went down over 20 bucks so soon after i purchased it  the law states that if a store sells you something and it goes on sale within 7 days after your purchase they are under obligation to refund you the difference but i didnt come back to check on the price until 10 days later  boooother than that im happy with the bag  its my grocery shopping bag and its great for anyone who doesnt do their shopping with a car  i wheel it around the store and use it as my shopping basket then when its time to hop on public transportation i use it as a back pack to go up and down the stairs easily  then its back to wheeling when im walking those few blocks home  the only thing is that the zippers are kind of tough and they arent always easy to zip up and down but im hoping that with use over time they will get softerupdate  i was right about the zippers  after using this bag for a while the zippers become easier to pull  now the zippers give me no problems at all and glide easily,4.0,Great Bag,1333756800,"04 7, 2012",2,2,0,1.0,1
15902,A1UY9MR6L4SUHA,B00B6T25RK,CHERYL  DAWN  ADAMS,"[0, 1]",this ring is beautiful and it wears well considering the price  i have had many compliments on it and wear it all the time along with my solitaire diamond wedding band  they look lovely together  thanksi have ordered another for use on my other hand,5.0,"GREAT RING, GREAT VALUE",1385769600,"11 30, 2013",0,1,1,-1.0,0
15906,A1IJ052QE54LLA,B00A0ZN1LA,adadioranma,"[0, 1]",just that i purchased these thinking they were wine to match a wine purse i have but these came more of dark red than wine the heels dont appear strong as well,3.0,Not bad,1364947200,"04 3, 2013",0,1,1,-1.0,0
15908,AK9BXHEXOOM6Z,B005QXET1M,John L. Miller,"[0, 1]",im 6234 and 230 pounds i usually wear 2xl for shirts and 23xl if i can find them for long sleeve shirts to get them to fix not for this thoughi thought an xl would be safe i was wrong way too big the sleeves dangle onto my hands and it looks like im wearing a tent i love the quality though so i bought an lfor my size the l is a perfect fit its not skintight but its a good fit and comfortable for swimming and water parksa great sun shirt for water parks and the beach i plan on buying more as this one wears out,5.0,"'L' not XL for 6'2, 230 pounds.",1377388800,"08 25, 2013",0,1,1,-1.0,0
15917,A1E2MLTVESQ31J,B004RHL65K,"David B. Snook ""Cruzin Dave""","[0, 1]",tiny ball beads but the quality of the silver is excellent  i wish i would have ordered one with slightly larger beads and a little bit longer  but i have plenty of pendants that will go with it,4.0,Great Quality Silver,1376352000,"08 13, 2013",0,1,1,-1.0,0
15919,A1A9IDQJCKATBU,B004YVUICQ,Martha,"[0, 2]",when you first put these on they are really nice but after a while they get pretty loose and move around which gets pretty annoying the fabric is pretty light which makes it a bit more breathable but definitely not more durable they do good under looser fitting clothes but not so well under tight clothes they are pretty much invisible under clothes though which is very nice,4.0,Good,1370217600,"06 3, 2013",0,2,2,-1.0,0
15927,A1H4FZ9M8QZJZ4,B00DMWQV38,Jessie H.,"[0, 1]",it looks cheap to me in almost all of the pictures ive seen of it but really its a super cute statement piece my only complaint is that the jewel in the middle is loose and it kind of rattles around it never turns or anything and it wont fall out but it does shake around just a little overall i think its great,5.0,Much better than I expected.,1377561600,"08 27, 2013",0,1,1,-1.0,0
15932,AWYWVJSNYXJ5V,B0045W7HDC,lovely,"[0, 1]",was a little tight for me because i dont wear things that tight but very cutebut i still set it back,1.0,not to bad,1356480000,"12 26, 2012",0,1,1,-1.0,0
15933,A3RJ01NTFZ2N40,B000ROFWDE,Ricky Jones Jr.,"[0, 1]",cute little hat to play in small fit and probably would look better on small heads good for roleplay  ,5.0,Cute!!,1379203200,"09 15, 2013",0,1,1,-1.0,0
15942,A25WVH9A3SWSB2,B008BHHWLE,Meek,"[0, 2]",i didnt even receive a dress  it was something else that looked similar like a dress even though the description clearly says dress  since it was so inexpensive i am just keeping it to avoid having pay to return the item  buyer beware,1.0,Never would I order from this  store again,1401753600,"06 3, 2014",0,2,2,-1.0,0
15959,A2QV00TUUQFMJB,B000HTRQ88,"Marge ""Marge CC""","[1, 1]",the color was nice a light casual blue tone the picture here is a bit dirty looking but the actual item is nicethe material is also a bit heavier than my other two recent 524sunfortunately the straight style does not look good on me as the boot cut or flare so ill be returning this will stick to the boot cut but this is nice for those who likes the straight cut,5.0,Better than the picture :),1362700800,"03 8, 2013",1,1,0,1.0,1
15960,A1QKTQZWZPP6IZ,B000I1YQF6,"C.E.L. ""Caren L.""","[1, 1]",i bought these for my elderly mom  assumed that they would fit like the kendale slipper  not so  this one is on the narrow side and i ordered medium  i have ordered the kendale to replace it and will be sending this back  also her foot is not wide but the velcro strap just about has enough length to fasten it closed  it should be a good 1 inch longer,3.0,A BIT NARROW,1394928000,"03 16, 2014",1,1,0,1.0,1
15963,A2SZRY5TFW27TR,B0007YVP1W,Gordon Ewasiuk,"[1, 1]",there is a reason the levis brand is synonymous with jeans  they are simply the best  nothing else comparesthe moment you pickup these jeans you can feel the sturdy construction and quality  these jeans are heavy  the material is strong and durable  these are some flybynight jeans that will rip if you sneeze  these are the real dealputting them on reveals a loose fit  the jeans wrap around your waist but leave enough room for plenty of movement  the legs taper slight but will easily fit over a pair of construction or work boots  the seams and ends of the legs are doublestitched to prevent fraying and tearsthe pockets are deep and roomy  i can easily fit an ipod in one front pocket and a large set of keys almost 40 keys into the other  you could unload several rolls of quarters and still have room for your hand  the back pockets are just as roomy and can hold wallets tools flashlights including a maglight and moreaccept no substitutes  if you want the best get these jeans  they wont let you down,5.0,Simply the best!,1246406400,"07 1, 2009",1,1,0,1.0,1
15971,A3N3Q0SEFYQ72X,B0000ZBSGU,DaisyinHarbor,"[0, 1]",the bra came promptly fits true to size wears beautifully and will surely last as long as my other wacoal pieces that still look great after years of use,5.0,Wacoal lives up to its reputation again,1332028800,"03 18, 2012",0,1,1,-1.0,0
15973,AHZ2WWETUA4Y8,B000VEM5DU,"Jane Groseclose ""jgroseclose""","[1, 1]",the way that amazon groups identical items with color options definitely failed on this one but that is very obvious from the pictures it wasnt obvious from the pictures which type was laid out which way so i ordered two different ones the olive drab and the tan w radioactive symbol i figured for the price i could just return whichever i didnt like ended up keeping and loving both for different reasonsolive drabhas no inner dividers but has a small security pocket inside big enough for a checkbook plus pens and a few flash driveshigher quality fabric very sturdy strap which is also adjustable not padded but wide  lots of inside space 4 pockets each big enough for a large water bottle but the pockets are kinda weird stuff in them is not really secure feels like little stuff might fall outheavy higher quality canvas makes it heavier but if you need it to carry a laptop plus 35 hardcover text books you probably dont care about weight this is the one you wantended up using this as a camera bag for my camera kit the pockets are perfect for lenses and i have 4 primary lenses so it worked out love the ample space inside no crazy features to get my hands caught in when im in a hurry but obviously i had to craft a cradle for my dslr body to rest in the fabric quality is just as good as any of the 100 journalist or reporter bags and it actually looks very similar as well also space for a laptoptan w radioactive logo2 inner dividers  3 inner sections each big enough for a laptop in a thick neoprene sleeve with some slop one is completely separated off the other two are 1 big pocket w a fixed dividerstrap is kinda wimpy the metal fixings appear durable enough might decide to replace the clasps that actually clip to the bag as this clasp design can bend over time but they seem pretty good the strap itself is maaaybe an inch thick and the sliding pad for your shoulder isnt really padded also its not very long most men wont be able to cross it over their head to rest on the opposite shoulder displacing the weight onto your back some small women probably can but not everyone it isnt really comfortable that way it has to just hang on your shoulder straight downonly has 1 extra pocket but it is better designed has about a dozen slots for pens plus a large pocket there is a flap with snaps to make sure everything stays where it should be it is a good designfabric is not as good but still feels sturdy i like that it is significantly lighter and a bit smaller i wanted a daybagman pursebrief case to carry my laptop and sketch book around with me to work etc this one is slightly smaller lighter has better secured pockets for knickknacks,5.0,"confusing discriptions, but good bags.",1341532800,"07 6, 2012",1,1,0,1.0,1
15980,A3QDS02EOY2NIF,B000K2MGOG,Carrieocon78,"[1, 1]",great details and super adorable  more accurate to the movie than most of these dresses  but the stitching is a little cheesy i have had to resew a few holes,5.0,Cute!,1388016000,"12 26, 2013",1,1,0,1.0,1
15985,A363DB08146FWS,B001O06DWE,Kenneth d Mercer,"[0, 1]",it is the highest quality silk its thick the patterns are cool  i only buy scott allen ties from here on out  i have 25,5.0,I only buy Scott Allen ties,1384646400,"11 17, 2013",0,1,1,-1.0,0
15986,A29DDTLN50E1RT,B008HO33GO,MARIA A,"[0, 1]",the buy for my mom has problems for her foot heel are the best are super comfortable and tires can not walk long distances without them you disturb,5.0,BEAUTIFUL,1381708800,"10 14, 2013",0,1,1,-1.0,0
15988,A8HRN2ZXTEGQU,B005VBWRAO,"C. Bergquist ""CMB""","[1, 3]",i will not go into great deal on this post but stay away unless you want to look like you are disfigured,1.0,"NOT TOO SMALL-JUST ""YOU HAVE GOT TO BE KIDDING ME""",1369353600,"05 24, 2013",1,3,2,-0.3333333333333333,0
15992,A22IWP9IKLOPDO,B002TXIAD0,Karen K Gulley,"[0, 1]",love the color of these pjs bought for a christmas present like the long sleeves and cotton bottoms with no cuffs,5.0,PJ's,1377907200,"08 31, 2013",0,1,1,-1.0,0
16002,A2R9ZV53ZMZH3Z,B003ZYF3E6,Plenty Twenties,"[0, 1]",cheap looking metal for the authentic alex and ani item  i cant understand why girls find these so appealing  returned it and bought myself some real jewelry,2.0,Why are these so popular?,1362009600,"02 28, 2013",0,1,1,-1.0,0
16004,A3I49HMI4LV6HU,B000P69IF2,medialint,"[14, 15]",i ride transit daily to and from work and bought this to replace an old backpack which was starting to wear outthis is not a huge backpack and i have larger ones i take to the grocery store for large loads but this more than adequately totes the daily junk i need to transport i successfully managed to fit a large widescreen laptop in it but nothing any larger would be a decent fit hold a six pack and a few convenience items for that quick convenience store stop on the way homethere are two large main pockets which if combined would probably give you more capacity but it does a nice job of giving you a space for your newspaper in one while giving the cargo space for a laptop light jacket or whatever else you need in the other the front pocket has places for pens and you can organize aspirin tissues or other daily need items in there without it getting terribly cluttered there is one really small pocket on top of this which i have not found too much use for but might be handy for something if you can fit your hand in therethe straps are very comfortable and most impressive about this bag the suspension strap seems to help a bit with heavier loads but mostly i like the comfortable padding which has a breathable fabric to help keep you from getting sweaty under the straps which was often a problem for me with my old backpacki would definitely recommend this over some of the more popular and well known bags such as jansport the cost is much less and the quality is excellentupdate february 2011 one strap on this started to separate at the stitching consider though that this had two and a half years of daily use and i tend to load it up both to capacity and with a lot of weight when stopping at the store on my way home from work its help up pretty well for an inexpensive backpack but its now time to replace it its served me well,5.0,Great small backpack for day to day use,1213920000,"06 20, 2008",14,15,1,0.8666666666666667,1
16005,A2QY6T129INF7S,B004G6WD2M,Justsilvie,"[1, 4]",these shoes feel like you are wearing a cheap pair of canvas tennis shoes no support what so ever i wore them to go walking and wound up limping home thought i would give them another try by wearing them around the house and had to take them of because of back and knee pain never ever had this kind of experience with walking shoes before,1.0,No support what so ever...,1379635200,"09 20, 2013",1,4,3,-0.5,0
16007,A16Y11L6D3SGHM,B005901LDQ,"Traci Linn Kelton ""Mar Mar""","[0, 1]",i first ordered a size 427 but didnt read the reviews first they do run about 2 sizes bigger and so i gifted them to my daughter i ordered these in a 25 and they fit amazing,5.0,Love these,1349481600,"10 6, 2012",0,1,1,-1.0,0
16017,A22LNLQ0X5ZN9Q,B0009IGYM6,"K. G. Anderson ""K. G. Anderson""","[0, 1]",the anita momentum bra is comfortable but it looked just awful without going into ugly detail i ended up with bulges under my armpits and looked completely droopy in front the bra has plenty of bulk but it doesnt seem to do anything in terms of shaping,2.0,Disappointing,1361664000,"02 24, 2013",0,1,1,-1.0,0
16018,A2VBTN6ZR67YOF,B00877NCVW,Mike Jacobs,"[0, 1]",these are a real wow  my wife really appreciated them as a gift she asked for colorful workout shoes and i couldnt find anything approaching these she says they are a true fit shes a 10 and also wears a 10 shoe and very comfortable,5.0,Five stars for gift-value,1388620800,"01 2, 2014",0,1,1,-1.0,0
